CVEGEO,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_AGEB,CVE_MZA,POBTOT,POBFEM,POBMAS,POB0_14,POB0_14_P,P15A29A,P15A29A_P,P30A59A,P30A59A_P,P_60YMAS,P_60YMAS_P,P_CD_T,P_CD_P,GRAPROES,GRAPROES_F,GRAPROES_M,VIVTOT,VIVPAR,VIVPAR_P,TVIPAHAB,TVIPAHAB_P,VIVNOHAB,VIVNOHAB_P,PROM_OCUP,PRO_OCUP_C,V3MASOCU,V3MASOCU_P,VPH_PIDT,VPH_PIDT_P,VPH_C_EL,VPH_C_EL_P,VPH_EXSA,VPH_EXSA_P,VPH_DREN,VPH_DREN_P,RECUCALL_C,RAMPAS_C,PASOPEAT_C,BANQUETA_C,GUARNICI_C,CICLOVIA_C,CICLOCAR_C,ALUMPUB_C,LETRERO_C,TELPUB_C,ARBOLES_C,DRENAJEP_C,TRANSCOL_C,ACESOPER_C,ACESOAUT_C,PUESSEMI_C,PUESAMBU_C,RECUCALL_D,RAMPAS_D,BANQUETA_D,GUARNICI_D,ALUMPUB_D,LETRERO_D,TELPUB_D,ARBOLES_D,DRENAJEP_D,TRANSCOL_D,ACESOPER_D,ACESOAUT_D,PUESSEMI_D,PUESAMBU_D,FECHA_POLI,FECHA_INF
1903900012025047,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,047,83,43,40,9,10.84,13,15.66,32,38.55,29,34.94,3,3.61,14.18,13.53,14.94,37,36,97.3,31,86.11,5,13.89,2.29,0.42,0,0,31,100,31,100,31,100,31,100,1,3,3,1,1,3,3,2,2,2,2,3,3,3,3,2,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Ninguna vialidad,2020,2020
1903900012025015,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,015,53,29,24,4,7.55,15,28.3,17,32.08,17,32.08,-1,3.77,14.4,13.59,15.43,18,18,100,17,94.44,-1,5.56,3.12,0.6,0,0,17,100,17,100,17,100,17,100,1,3,2,1,1,3,3,2,1,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025008,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,008,42,22,20,3,7.14,7,16.67,17,40.48,15,35.71,3,7.14,13.59,12.75,14.47,19,19,100,17,89.47,-1,10.53,2.47,0.54,0,0,17,100,17,100,17,100,17,100,1,3,3,1,1,3,3,2,2,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012114015,19,Nuevo León,039,Monterrey,0001,Monterrey,2114,015,75,38,37,8,10.67,15,20,25,33.33,27,36,7,9.33,14.46,14.36,14.56,29,29,100,27,93.1,-1,6.9,2.78,0.5,0,0,27,100,27,100,27,100,27,100,1,3,2,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025031,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,031,95,45,50,10,10.53,25,26.32,39,41.05,21,22.11,-1,-1,14.86,14.13,15.48,30,30,100,28,93.33,-1,6.67,3.39,0.59,0,0,28,100,28,100,28,100,28,100,1,2,3,1,1,3,3,2,1,3,1,3,3,3,3,3,3,Todas las vialidades,Alguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025052,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,052,135,67,68,10,7.41,19,14.07,60,44.44,46,34.07,-1,0.74,15.4,14.97,15.83,53,53,100,52,98.11,-1,-1,2.6,0.46,0,0,52,100,52,100,52,100,52,100,1,3,3,1,1,3,3,2,3,3,1,3,2,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Alguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025028,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,028,127,64,63,16,12.6,42,33.07,47,37.01,22,17.32,4,3.15,14.14,13.24,15.04,49,49,100,46,93.88,3,6.12,2.76,0.61,0,0,46,100,46,100,46,100,46,100,1,3,3,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025016,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,016,70,40,30,8,11.43,16,22.86,20,28.57,25,35.71,16,22.86,13.28,12.74,13.92,18,17,94.44,17,100,0,0,3.35,0.7,0,0,17,100,17,100,17,100,17,100,1,3,2,1,1,3,3,2,1,3,1,3,3,2,2,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en alguna vialidad,Restricción en alguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025018,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,018,92,43,49,9,9.78,17,18.48,44,47.83,22,23.91,3,3.26,14.87,14.49,15.21,31,30,96.77,28,93.33,-1,6.67,2.89,0.47,0,0,28,100,28,100,28,100,28,100,1,3,2,1,1,3,3,2,1,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900014661036,19,Nuevo León,039,Monterrey,0001,Monterrey,4661,036,80,38,42,11,13.75,18,22.5,33,41.25,18,22.5,4,5,13.49,13.53,13.46,40,40,100,33,82.5,7,17.5,2.42,0.59,0,0,33,100,33,100,33,100,33,100,1,3,3,1,1,3,3,2,1,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
